Artist,Song,Key,BPM,Camelot,Popularity,Energy,Danceability,Hapiness
"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",Dreamer,B♭ Major,126,6B,67,85,63,61
"AYLIVA, Ali Gatie",When I Cry (feat. Ali Gatie),A Minor,150,8A,54,66,55,22
"B.o.B, Bruno Mars",Nothing on You,B♭ Major,104,6B,71,80,55,38
"Baby Bash, Akon","Baby, I'm Back",A Minor,100,8A,65,39,90,77
Baby Keem,APOLOGIZE,F Minor,95,4A,63,43,76,9
"Baby Keem, Brent Faiyaz",lost souls (with Brent Faiyaz),C# Minor,170,12A,69,35,65,18
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),C# Major,134,3B,83,61,71,14
Bacilos,Perderme Contigo,C Major,104,8B,66,88,72,69
Bad Bunny,La Zona,C# Minor,94,12A,72,80,76,81
Bahari,Savage,E♭ Minor,98,2A,64,43,72,44
Bailey Zimmerman,New To Country,A♭ Minor,146,1A,68,93,57,92
Bailey Zimmerman,Where It Ends,A Major,170,11B,77,84,43,65
Bakar,"Right Here, for Now",C Major,130,8B,53,58,80,78
"Bakar, Dominic Fike",Stop Selling Her Drugs (feat. Dominic Fike),F Major,85,7B,60,28,85,76
Band of Horses,Is There A Ghost,C# Major,136,3B,59,84,30,14
Band of Horses,Our Swords,B Major,107,1B,58,79,64,35
Band of Horses,The Funeral,C Minor,122,5A,73,76,32,10
Bankrol Hayden,Rich Bitch,E Minor,176,9A,56,82,77,86
Bankrol Hayden,No Drama,C# Major,108,3B,55,66,94,84
BANNERS,Shine A Light,C Major,195,8B,59,80,32,10
Barenaked Ladies,One Week,A Major,113,11B,72,90,70,73
BARRY BILL,DIGITAL,A♭ Major,175,4B,10,61,46,12
Basshunter,Boten Anna - Radio edit,A Minor,140,8A,63,97,46,27
Bastille,Pompeii,A Major,127,11B,78,72,68,57
Bastille,Icarus,E Minor,135,9A,61,78,58,67
Bazzi,Mine,E Major,143,12B,75,79,71,72
Bazzi,Fantasy,F Minor,144,4A,72,67,70,31
Bazzi,Paradise,B Minor,122,10A,73,64,84,59
Bazzi,Myself,A Minor,196,8A,66,56,75,90
Bear Hands,Giants,C Major,184,8B,47,85,47,42
"Beatchild, Drake, hxzel",Share,A♭ Minor,94,1A,27,62,77,81
"Bebe Rexha, Doja Cat","Baby, I'm Jealous (feat. Doja Cat)",B Minor,98,10A,61,87,74,51
Beck,Gamma Ray,B Minor,168,10A,59,91,60,70
Beck,Girl,E♭ Major,149,5B,48,68,69,86
Beck,Go It Alone,C# Major,150,3B,54,39,87,52
Beck,Loser,D Major,85,10B,75,61,65,79
"Beck, Phoenix",Odyssey,F# Major,116,2B,45,78,70,89
Becky G,Shower,D Major,120,10B,80,53,70,12
Bee Gees,More Than A Woman,G Major,106,9B,79,68,63,70
Ben E. King,Stand By Me,A Major,119,11B,79,23,63,67
Ben Folds,Rockin' the Suburbs,C Major,95,8B,43,90,61,64
Ben Folds Five,Army,C# Major,175,3B,44,77,44,51
Ben Howard,Old Pine,F Major,130,7B,68,36,40,22
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),F# Minor,90,11A,82,69,63,33
"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie),A♭ Major,147,4B,66,60,61,53
"Benny The Butcher, Black Thought",Crowns for Kings (Feat. Black Thought),G Major,88,9B,57,91,49,58
Benson Boone,Beautiful Things,B♭ Major,105,6B,92,47,47,22
Beyoncé,Halo,B Minor,78,10A,78,71,42,47
Beyoncé,Diva,F# Minor,146,11A,76,55,87,86
"Bhad Bhabie, Lil Baby",Geek'd (feat. Lil Baby),A Minor,164,8A,62,56,86,19
"Bhad Bhabie, Megan Thee Stallion",Bestie (feat. Megan Thee Stallion),C# Major,102,3B,47,66,90,68
"Big L, Fat Joe",The Enemy (feat. Fat Joe),B Major,174,1B,67,65,61,88
"Big Pun, Joe",Still Not a Player (feat. Joe) - Radio Version,E Minor,94,9A,76,62,90,87
Big Sean,Moves,D Major,76,10B,56,52,81,38
"Big Sean, Post Malone",Wolves (feat. Post Malone),D Major,160,10B,68,68,72,33
"Big Sean, TWENTY88",Same Time Pt. 1,C Minor,89,5A,43,49,66,72
Big Thief,Velvet Ring - 2023 Remaster,C Major,139,8B,79,40,32,28
Big Thief,Vampire Empire,A Major,131,11B,77,57,64,66
BigXthaPlug,Mmhmm,A Major,126,11B,83,68,93,96
BigXthaPlug,Safehouse,C# Minor,112,12A,71,43,97,38
BigXthaPlug,Levels,F Major,122,7B,82,56,80,50
"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman),C# Minor,135,12A,87,56,83,44
"BigXthaPlug, Big Yavo",Boy,C# Major,90,3B,69,70,60,70
Bill Withers,Ain't No Sunshine,E Minor,78,9A,83,42,53,52
Billie Eilish,I Didn't Change My Number,A Major,142,11B,76,48,85,68
Billie Eilish,goodbye,F# Minor,74,11A,71,14,15,5
Billie Eilish,SKINNY,A Major,70,11B,83,25,25,4
Billie Eilish,Therefore I Am,D Major,94,10B,76,37,88,66
"Billie Eilish, Khalid",lovely (with Khalid),E Minor,115,9A,89,30,35,12
"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),E Minor,135,9A,65,24,34,3
Billy Currington,Good Directions,F Major,122,7B,77,72,72,48
Billy Joel,Vienna,B♭ Major,125,6B,86,50,53,31
Billy Joel,You Can Make Me Free,C# Minor,167,12A,36,65,38,53
Billy Joel,Movin' Out (Anthony's Song),D Minor,134,7A,72,88,66,90
Billy Joel,An Innocent Man,C Major,106,8B,57,38,51,43
Billy Joel,The Stranger,E Minor,92,9A,56,88,66,22
Billy Joel,Falling of the Rain,E Major,126,12B,36,41,47,67
Billy Joel,Tell Her About It,A♭ Major,182,4B,62,89,56,74
Billy Ocean,Caribbean Queen (No More Love On the Run),F Major,114,7B,76,65,79,95
Billy Ocean,Love Really Hurts Without You,F Major,141,7B,73,91,52,96
Birdy,Not About Angels,C Major,117,8B,74,11,41,22
Birdy,People Help the People,B♭ Minor,73,3A,73,31,43,15
"Bizarrap, Frijo, Hot Plug Beats","Frijo: Bzrp Music Sessions, Vol. 10",A♭ Major,100,4B,61,60,85,67
"Bizarrap, Milo j",Toy en el Mic,C# Minor,100,12A,70,55,69,87
Bktherula,Tweakin' Together,A♭ Major,145,4B,54,41,61,46
Black Eyed Peas,Let's Get It Started - Spike Mix,B Minor,105,10A,77,79,78,81
"Black Gryph0n, Baasik",Insane,E Minor,105,9A,77,71,72,80
blackbear,hot girl bummer,F# Minor,130,11A,77,56,78,69
blackbear,idfc,C# Minor,145,12A,78,50,63,32
Bleachers,Rollercoaster,B♭ Major,162,6B,66,79,42,28
Blind Melon,No Rain,A Major,148,11B,77,48,39,57
blink-182,What's My Age Again?,F# Major,158,2B,80,95,39,47
blink-182,Adam's Song,C Major,136,8B,75,78,52,38
blink-182,Always,B Major,158,1B,65,95,46,56
"BLK ODYSSY, BNXN",Lay Low,B♭ Minor,102,3A,56,61,48,57
Bloc Party,Flux,C# Minor,76,12A,45,95,39,22
Bloc Party,I Still Remember,B♭ Major,140,6B,40,90,43,32
Blue Öyster Cult,(Don't Fear) The Reaper,A Minor,141,8A,78,93,33,39
"Blue Swede, Björn Skifs",Hooked On A Feeling,A♭ Major,118,4B,72,82,55,93
"Blueface, OG Bobby Billions",Outside (Better Days),A Minor,78,8A,60,42,67,74
"Blueface, Polo G",Murder Rate (feat. Polo G),E Major,140,12B,45,61,90,78
Blur,Song 2 - 2012 Remaster,A♭ Major,130,4B,81,79,67,92
Blxst,Be Alone,A♭ Minor,93,1A,59,62,61,69
"Blxst, Tyga, Ty Dolla $ign",Chosen (feat. Ty Dolla $ign),D Major,93,10B,73,77,57,61
Bob Dylan,Blowin' in the Wind,D Major,175,10B,75,10,38,44
Bob Dylan,Knockin' On Heaven's Door,G Major,140,9B,83,40,51,23
Bob Seger,Night Moves,C# Major,119,3B,77,74,71,37
Bobby Day,Rockin' Robin,G Major,172,9B,62,61,54,94
"Boldy James, The Alchemist",Great Adventures,C# Major,163,3B,65,47,50,72
"Boldy James, The Alchemist, Freddie Gibbs",S.N.O.R.T.,F# Minor,106,11A,41,59,54,59
Bombay Bicycle Club,Luna,F Major,122,7B,57,92,58,39
Bombay Bicycle Club,Shuffle,G Major,110,9B,60,96,63,40
Bon Iver,Beach Baby,C Major,114,8B,73,8,67,9
Bon Iver,Holocene,C# Major,148,3B,71,30,37,15
BONES,Oxygen,C# Minor,120,12A,62,51,69,15
BONES,Sodium,E Minor,121,9A,72,32,75,10
Booba,GLAIVE,A Major,79,11B,54,83,67,87
"Borai & Denham Audio, Borai, Denham Audio",Make Me,B♭ Minor,130,3A,65,95,62,70
BØRNS,Electric Love,F# Minor,120,11A,82,80,61,52
BossMan Dlow,Finesse,C Major,160,8B,60,54,70,29
Boston Bun,Missing You,C Minor,126,5A,65,81,68,27
BOYS LIKE GIRLS,Love Drunk,B♭ Major,150,6B,63,98,44,41
Braken,Flight,E Minor,88,9A,3,76,62,20
Braxton Burks,Violet City,B Major,180,1B,33,21,19,21
Bread,Everything I Own,D Major,79,10B,75,34,37,45
Brenn!,4runner,C# Major,128,3B,70,51,59,48
Brent Faiyaz,Clouded,D Major,65,10B,79,34,58,58
Brent Faiyaz,Trust,A♭ Major,92,4B,78,39,76,47
"Brent Faiyaz, Joony, ISO Supremacy",Paper Soldier (feat. Joony),F Minor,151,4A,76,60,69,49
"Brenton Kossak, Blaine McGurty",Pedestrians Crossing,C# Major,132,3B,43,37,64,56
Britney Spears,Circus,F# Minor,115,11A,81,73,79,76
Britney Spears,Womanizer,B Major,139,1B,82,70,72,24
Britney Spears,Overprotected - Radio Edit,C Minor,96,5A,63,89,68,85
BROCKHAMPTON,SUGAR,C# Major,123,3B,71,54,45,52
Broken Bells,October,F# Minor,144,11A,51,63,55,41
Broken Bells,The High Road,C Major,80,8B,64,64,61,60
Broken Bells,The Mall & Misery,E♭ Minor,137,2A,48,65,59,28
Broken Social Scene,7/4 (Shoreline),A Major,156,11B,44,93,46,50
Bruce Springsteen,Dancing In the Dark,C# Minor,149,12A,85,94,53,50
Bruno Mars,Natalie,G Major,112,9B,26,73,76,67
Bruno Mars,Runaway Baby,B♭ Minor,164,3A,73,76,66,82
Bruno Mars,Moonshine,D Major,105,10B,23,77,71,46
Bruno Mars,Money Make Her Smile,C Major,93,8B,18,66,76,78
"Bryant Barnes, d4vd",I'd Rather Pretend (with d4vd),A♭ Major,130,4B,71,33,56,33
"Bryce Vine, YG",La La Land (feat. YG),C# Minor,98,12A,54,47,77,42
Bryson Tiller,Blame,B Minor,115,10A,66,38,73,32
Bryson Tiller,Whatever She Wants,A Minor,96,8A,81,51,80,44
"Bryson Tiller, Drake",Outta Time (feat. Drake),F Minor,93,4A,70,58,71,34
buffalo_farm,P_O_S,B♭ Minor,130,3A,55,82,74,70
Built To Spill,Liar,C Major,135,8B,42,76,54,54
