Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Dont have 2 muve wit dem,Bronzo The OSV,22,156,,,03:35,84,52,41,0,37,70,10,-13,F#/G♭,4,2B,Bronzo The OSV,Dont have 2 muve wit dem
All Star,Smash Mouth,1,104,,,03:20,73,87,4,0,78,0,0,-6,B,4,1B,Smash Mouth,All Star
Living For The Sunrise,Mike Lennon,11,174,,,03:38,38,85,14,0,92,0,70,-5,G,4,9B,Mike Lennon,Living For The Sunrise
Insane in the Brain,Cypress Hill,75,102,"west coast hip hop, rap rock, hip hop","Hip Hop, Rock",03:28,90,61,3,19,77,20,0,-10,B,4,1B,Cypress Hill,Insane in the Brain
Emergency,Rudely Interrupted,13,132,,,02:28,34,62,0,0,32,0,10,-8,G,4,9B,Rudely Interrupted,Emergency
Drive,Incubus,82,91,"nu metal, funk rock, alternative metal, alternative rock","Metal, Rock, R&B",03:52,65,79,6,1,67,0,10,-7,E minor,4,9A,Incubus,Drive
Last Breath,Joel McColl,13,102,,,03:49,73,32,56,0,39,0,10,-13,D,4,10B,Joel McColl,Last Breath
Macarena,Los Del Rio,61,103,,,04:09,93,72,42,0,97,0,0,-13,G#/A♭,4,4B,Los Del Rio,Macarena
As,"George Michael,Mary J. Blige",3,93,r&b,R&B,04:42,67,74,14,0,77,10,20,-8,G#/A♭ minor,4,1A,George Michael,As
It Ain't Automatic,Joel McColl,11,110,,,03:09,68,63,7,1,84,0,60,-11,A,4,11B,Joel McColl,It Ain't Automatic
7 Seconds (feat. Neneh Cherry),"Youssou N'Dour,Neneh Cherry",61,154,"afropop, ","Pop, Traditional Music",05:05,68,70,8,0,51,0,30,-10,C♯/D♭ minor,4,12A,Youssou N'Dour,7 Seconds (feat. Neneh Cherry)
All That She Wants,Ace of Base,83,94,"eurodance, europop","Electronic, Pop",03:31,80,63,1,0,86,0,10,-10,B,4,1B,Ace of Base,All That She Wants
Sweet Dreams,La Bouche,66,134,eurodance,"Electronic, Pop",03:24,66,96,8,2,83,0,0,-6,B minor,4,10A,La Bouche,Sweet Dreams
Sunrise Dreams,Children of A.I.,17,120,,,03:59,66,44,9,1,5,0,0,-11,F#/G♭ minor,4,11A,Children of A.I.,Sunrise Dreams
Gettin' Jiggy Wit It,Will Smith,75,108,,,03:47,88,87,2,0,86,10,10,-5,F#/G♭,4,2B,Will Smith,Gettin' Jiggy Wit It
Love Me,Chelsea Otto Ferary,0,89,,,02:55,63,64,18,0,37,0,60,-7,F minor,4,4A,Chelsea Otto Ferary,Love Me
Waterfalls,TLC,78,172,,,04:39,77,51,31,0,76,0,0,-7,C♯/D♭,4,3B,TLC,Waterfalls
Ultraterrestrial,JB!! aka Dirty Moses,9,105,,,02:54,90,72,4,0,42,20,10,-6,C♯/D♭,4,3B,JB!! aka Dirty Moses,Ultraterrestrial
Born to Make You Happy,Britney Spears,63,84,pop,Pop,04:03,63,92,12,0,69,0,0,-5,B minor,4,10A,Britney Spears,Born to Make You Happy
I'm Feelin' U Baby,BiG HueB,5,78,,,03:10,86,34,27,0,53,30,20,-11,C♯/D♭,4,3B,BiG HueB,I'm Feelin' U Baby
