#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
632,"everything","JAWNY",29,123,"bedroom pop","Pop","It’s Never Fair, Always True",2023-03-03,03:08,53,70,45,0,52,10,10,-6,E,4,2023-07-11,0EK8RZQ4ZjKo9UbxpRVvKO,"Johnny Utah LLC, under exclusive license to Interscope Records",12B,USUG12207037
633,"Heart It Races - Cover Version","Dr. Dog",60,99,"","","Heart It Races (Cover Version)",2007-06-05,03:51,65,69,46,13,78,0,40,-7,A#/B♭,4,2023-07-11,0SyOHG2V9CgMSlebbnyoLJ,"We Buy Gold Records",6B,QMFME1528618
634,"fall in love","JAWNY",33,135,"bedroom pop","Pop","It’s Never Fair, Always True",2023-03-03,03:49,48,47,33,0,15,0,10,-8,C,4,2023-07-11,1NeUyvm1DQDVK5lbGtYE9x,"Johnny Utah LLC, under exclusive license to Interscope Records",8B,USUG12207038
635,"Nellie","Dr. Dog",63,130,"","","B-Room (Deluxe Edition)",2013-10-01,03:37,51,53,33,0,59,0,0,-10,E,4,2023-07-11,1aRvUHgMe9ichgcHAAs12f,"Anti/Epitaph",12B,USEP41318012
636,"Lemonade","The Happy Return",18,140,"surf rock","Rock","Moving On",2018-09-13,03:28,51,75,3,0,29,0,20,-6,B,4,2023-07-11,4NntR4wm7QBB8jtjNZPstP,"The Happy Return",1B,TCADW1817655
637,"DOGTOOTH","Tyler, The Creator",12,78,"","","DOGTOOTH",2023-03-27,02:41,71,65,51,0,80,30,20,-6,G#/A♭,4,2023-07-11,0judK8TqYfvwUohBngUxrE,"Columbia",4B,USQX92301932
638,"End of Beginning","Djo",91,160,"psychedelic pop","Pop, Rock","DECIDE",2022-09-16,02:39,69,45,4,0,91,0,0,-8,D,4,2023-07-11,3qhlB30KknSejmIvZZLjOD,"Djo",10B,GBKPL2205058
639,"Then It All Goes Away","Dayglow",54,140,"indie rock","Rock","People In Motion",2022-10-07,03:03,68,82,2,0,96,0,0,-3,D,4,2023-07-11,7MzjD4Ayl07w0TRsYSqfCh,"Very Nice Records",10B,GBKPL2201994
640,"Lots of Nothing (feat. BENEE)","Spacey Jane,BENEE",50,140,"surf rock, ","Rock","Lots of Nothing (feat. BENEE)",2023-01-10,03:13,55,87,0,0,70,0,10,-5,A,4,2023-07-11,7uTqmYA0sSjmDVpQNGDz7j,"Spacey Jane",11B,QMFME2294775
641,"giving up on you","JAWNY",37,147,"bedroom pop","Pop","It’s Never Fair, Always True",2023-03-03,03:03,57,81,0,0,78,10,10,-6,F#/G♭,4,2023-07-11,4qhWRBKsBMyjms4UmBy4U6,"Johnny Utah LLC, under exclusive license to Interscope Records",2B,USUG12207035
