#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
199,"BED (I got a bed but I'd rather be in yours tonight)","Anthem Hits Platinum",29,124,"","","BED (I got a bed but I'd rather be in yours tonight)",2021-03-05,02:57,77,80,1,1,66,0,0,-5,F#/G♭,4,2022-10-01,6nRmVG5SgwxkEEOzImCId6,"Anthem Hits Platinum",2B,GBJHB2153201
200,"Hot N Cold","Katy Perry",80,132,"pop","Pop","One Of The Boys",2008-06-17,03:40,71,84,0,0,86,0,0,-4,G,4,2022-10-01,0iGckQFyv6svOfAbAY9aWJ,"Capitol Records",9B,USCA20802544
201,"Last Friday Night (T.G.I.F.)","Katy Perry",78,126,"pop","Pop","Teenage Dream: The Complete Confection",2012-03-12,03:50,65,81,0,0,76,0,60,-4,D#/E♭ minor,4,2022-10-01,455AfCsOhhLPRc68sE01D8,"Capitol Records",2A,USCA21001264
202,"Five More Hours","Deorro,Chris Brown",68,128,"melbourne bounce, electro house, r&b","Electronic, R&B","Five More Hours",2015-03-03,03:31,70,88,3,0,50,20,80,-3,F minor,4,2022-10-01,6YwLgicpvVuMt1eE2OldwQ,"Ultra Records, LLC",4A,USUS11203275
203,"Don't You Worry Child - Radio Edit","Swedish House Mafia,John Martin",83,129,"edm, ","Electronic","Don't You Worry Child",2012-09-14,03:32,61,84,11,0,44,0,10,-3,B minor,4,2022-10-01,2V65y3PX4DkRhy1djlxd9p,"Virgin Records",10A,GBAAA1200728
204,"Girls Like (feat. Zara Larsson)","Tinie Tempah,Zara Larsson",63,120,"grime, ","Electronic, Hip Hop","Girls Like (feat. Zara Larsson)",2016-02-26,03:16,92,80,37,0,54,0,0,-3,C,4,2022-10-01,0rHVd8h0cFwgLgPFem6S60,"Parlophone UK",8B,GB7TP1500034
205,"Scream & Shout","will.i.am,Britney Spears",82,130,"pop","Pop","#willpower",2013-01-01,04:43,77,69,2,0,50,0,10,-7,F,4,2022-10-01,2iJuuzV8P9Yz0VSurttIV5,"Interscope",7B,USUM71215597
206,"Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Wanz",81,95,"g-funk","Hip Hop, R&B","The Heist",2012-10-09,03:55,78,53,6,0,67,20,0,-7,F#/G♭ minor,4,2022-10-01,6CjtS2JZH9RkDz5UVInsa9,"Macklemore",11A,GMM881200003
207,"Keisha & Becky - Remix","Russ Millions,Tion Wayne,Aitch,Swarmz,Sav'o,JAY1",63,141,"uk drill, drill, grime, afroswing","Hip Hop, R&B, Electronic","Keisha & Becky (Remix)",2019-04-11,04:12,86,47,25,0,64,40,10,-10,F#/G♭,4,2022-10-01,5wIjM4q7oIgiLqn8Qfoyxh,"EMI",2B,GBUM71901541
208,"Can't Hold Us (feat. Ray Dalton)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",87,146,"","","The Heist",2012-10-09,04:18,63,93,3,0,88,0,10,-4,D,4,2022-10-01,22skzmqfdWrjJylampe0kt,"Macklemore",10B,GMM881200002
209,"Temperature","Sean Paul",86,125,"dancehall","Reggae","The Trinity",2005-09-27,03:38,95,60,11,0,82,0,0,-5,C minor,4,2022-10-01,0k2GOhqsrxDTAbFFSdNJjT,"VP Records",5A,USAT20505520
210,"I Know You Want Me (Calle Ocho)","Pitbull",73,127,"","","Pitbull Starring In Rebelution",2009-08-31,03:57,82,73,1,0,79,10,10,-6,A,4,2022-10-01,5RzFJd6W40SDTyZkX6xx45,"Mr.305/Polo Grounds Music/J Records",11B,USJAY0900144
211,"Don't Stop The Music","Rihanna",86,123,"","","Good Girl Gone Bad: Reloaded",2008-06-02,04:27,83,67,3,0,55,0,0,-6,F#/G♭ minor,4,2022-10-01,0ByMNEPAPpOR5H69DVrTNy,"Def Jam Recordings",11A,USUM70734700
212,"Only Girl (In The World)","Rihanna",87,126,"","","Loud (Japan Version)",2010-01-01,03:55,79,71,11,0,64,0,0,-4,B minor,4,2022-10-01,2ENexcMEMsYk0rVJigVD3i,"Def Jam Recordings",10A,USUM71023200
213,"S&M","Rihanna",85,128,"","","Loud (Japan Version)",2010-01-01,04:03,77,69,1,0,84,0,0,-5,C♯/D♭,4,2022-10-01,7ySUcLPVX7KudhnmNcgY2D,"Def Jam Recordings",3B,USUM71026591
