#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
391,"The Truth","Jason Aldean",72,143,"country, acoustic country","Country, Folk","Wide Open",2009-04-07,03:58,50,58,23,0,38,0,10,-5,A,4,2024-07-05,1DGuA96lAK9NEAmJwS6DH9,"Broken Bow Records",11B,US58E0800173
392,"Handle On You","Parker McCollum",73,105,"texas country, red dirt, country","Country","Never Enough",2023-05-12,03:39,59,93,0,0,62,0,20,-4,F#/G♭,4,2024-07-05,4reXo2zg1uhEIpUAacDb9C,"MCA Nashville",2B,USUM72211050
393,"Chevrolet (feat. Jelly Roll)","Jelly Roll,Dustin Lynch",72,78,"country hip hop, country, acoustic country","Country, Folk, Hip Hop","Killed The Cowboy",2023-09-29,03:04,56,73,7,0,66,0,20,-4,G,4,2024-07-05,7FKAVg9SA7QYLxdVRLnKjd,"Broken Bow Records",9B,QMRSZ2301164
394,"28","Zach Bryan",82,81,"country, red dirt","Country","The Great American Bar Scene",2024-07-04,03:53,49,52,23,0,44,0,0,-7,G,3,2024-07-08,5iJKGpnFfvbjZJeAtwXfCj,"Warner Records",9B,USWB12402693
395,"American Nights","Zach Bryan",78,138,"country, red dirt","Country","The Great American Bar Scene",2024-07-04,03:38,57,68,3,0,36,0,10,-6,F#/G♭,4,2024-07-08,3c9EsIo34kil8Oj1reaozB,"Warner Records",2B,USWB12402694
396,"The Way Back","Zach Bryan",70,80,"country, red dirt","Country","The Great American Bar Scene",2024-07-04,03:05,54,49,67,0,18,0,10,-8,C,4,2024-07-08,4jIy1KWDGEptJGq94tqB5Y,"Warner Records",8B,USWB12402697
397,"Nine Ball","Zach Bryan",83,135,"country, red dirt","Country","Boys Of Faith",2023-09-22,02:49,60,66,11,0,38,0,10,-4,G,4,2024-07-08,3xOi0YhDREKRURFHoNaAOQ,"Warner Records",9B,USWB12305746
398,"Holy Roller (feat. Sierra Ferrell)","Zach Bryan,Sierra Ferrell",67,81,"country, red dirt, americana, alt country, bluegrass","Country, Rock, Folk","Zach Bryan",2023-08-25,03:36,42,40,68,0,43,0,20,-9,E,4,2024-07-08,3itgPtXSu4I9mr2QD6yrzP,"Warner Records",12B,USWB12304900
399,"Ain't No Love In Oklahoma (From Twisters: The Album)","Luke Combs",86,142,"country","Country","Ain't No Love In Oklahoma (From Twisters: The Album)",2024-05-16,03:30,49,66,1,1,28,0,10,-10,F,4,2024-07-21,6GG4yyk3UATdBfTHVgI8PB,"Atlantic Records",7B,USAT22402805
400,"Doin' This","Luke Combs",65,115,"country","Country","Growin' Up",2022-06-24,04:14,59,55,17,0,39,0,10,-6,C♯/D♭,4,2024-07-21,6TpyujRefwsflWFXbmjVpj,"River House Artists/Columbia Nashville",3B,US6XF2100159
401,"Guy For That (Feat. Luke Combs)","Post Malone,Luke Combs",75,120,"country","Country","Guy For That",2024-07-26,02:44,61,91,1,0,51,0,10,-4,G#/A♭,4,2024-07-27,5crxqqibcvoOQQgg4HjAFQ,"Mercury Records/Republic Records",4B,USUM72405595
402,"Does To Me (feat. Eric Church)","Luke Combs,Eric Church",71,113,"country, acoustic country","Country, Folk","What You See Is What You Get",2019-11-08,03:43,62,85,31,0,64,0,30,-5,C,4,2024-07-29,0nGXi46VcQQ56ZJR428MKS,"River House Artists/Columbia Nashville",8B,US6XF1700272
