#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
121,"No Guidance (feat. Drake)","Chris Brown,Drake",2,93,"r&b, rap","R&B, Hip Hop","No Guidance (feat. Drake)",2019-06-08,04:20,70,45,12,0,14,10,10,-7,C♯/D♭ minor,4,2019-07-10,7FEwp8BavoEVE3AnxJDchc,"Chris Brown Entertainment/RCA Records",12A,USRC11901583
122,"Blame","Bryson Tiller",66,115,"r&b","R&B","Blame",2019-07-26,02:07,73,38,3,0,32,10,10,-9,B minor,4,2019-07-26,6S5dMjMifQYmyTu1mX4f8P,"TrapSoul/RCA Records",10A,USRC11902083
123,"Trust Issues","Drake",80,89,"rap","Hip Hop","Care Package",2019-08-02,04:41,42,54,78,0,52,20,10,-5,B minor,3,2019-08-02,4Wjhj0WjkyECccfHVIgaTq,"OVO",10A,USUG11902746
124,"I Get Lonely","Drake",60,81,"rap","Hip Hop","Care Package",2019-08-02,04:13,48,50,71,0,69,0,10,-9,B minor,4,2019-08-02,3sMC6vfTTSa0mMAPTwzDVD,"OVO",10A,USUG11902751
125,"My Side","Drake",51,81,"rap","Hip Hop","Care Package",2019-08-02,04:54,55,50,60,0,39,10,10,-6,F#/G♭ minor,4,2019-08-02,4alHkxxwAhvoGg3dJCATKV,"OVO",11A,USUG11902752
126,"Club Paradise","Drake",68,184,"rap","Hip Hop","Care Package",2019-08-02,04:43,34,73,76,0,54,10,10,-6,F#/G♭ minor,4,2019-08-02,6MR5IBSNfDmiwnrlQpVw4w,"OVO",11A,USUG11902754
127,"Girls Love Beyoncé (feat. James Fauntleroy)","Drake,James Fauntleroy",60,126,"rap, ","Hip Hop","Care Package",2019-08-02,03:45,62,49,78,0,33,40,10,-11,B minor,4,2019-08-02,56NDFbD0tCUawnqeU2wcvv,"OVO",10A,USUG11902757
128,"Paris Morton Music","Drake",63,172,"rap","Hip Hop","Care Package",2019-08-02,04:11,51,49,41,0,14,30,10,-9,A#/B♭ minor,4,2019-08-02,73IE87H0g2MBmdn41lkVto,"OVO",3A,USUG11902758
129,"Break from Toronto","PARTYNEXTDOOR",11,117,"r&b","R&B","PARTYNEXTDOOR",2013-07-01,01:39,60,68,2,0,26,0,40,-5,A,4,2019-08-04,79MSEdtXuudhGhC5AtG07g,"OVO Sound",11B,USWB11302160
130,"Not Nice","PARTYNEXTDOOR",1,128,"r&b","R&B","PARTYNEXTDOOR 3 (P3)",2016-08-12,03:22,60,50,3,0,73,0,10,-9,C,4,2019-08-04,4STaHtfguDMkWbPEo6Fwcx,"OVO Sound/Warner Records",8B,USWB11601391
131,"Right Now","PARTYNEXTDOOR",1,83,"r&b","R&B","PARTYNEXTDOOR",2013-07-01,04:03,41,72,1,0,5,10,50,-3,A,4,2019-08-04,7Dx08NB4kG5k7xW3iRc5nM,"OVO Sound",11B,USWB11302158
132,"Her Way","PARTYNEXTDOOR",0,111,"r&b","R&B","PARTYNEXTDOOR TWO",2014-07-29,03:36,55,49,5,0,12,0,0,-10,C♯/D♭,4,2019-08-04,2hyfepwCRQsenxVLzsaOtA,"OVO Sound/Warner Records",3B,USWB11401862
133,"Surface","Mustard,Ty Dolla $ign,Ella Mai",47,89,"r&b","R&B","Perfect Ten",2019-06-28,03:14,48,48,13,0,48,0,40,-8,F minor,4,2019-08-21,0y1lLLaSzHIVQZKHEfwOrm,"10 Summers Records/Interscope Records",4A,USUM71911807
134,"CYANIDE","Daniel Caesar",53,158,"","","CASE STUDY 01",2019-06-28,03:14,59,65,70,0,49,30,10,-7,A#/B♭,4,2019-08-21,3uouaAVXpQR3X8RYkJyitQ,"Golden Child Recordings",6B,QM6N21983282
135,"Heat (feat. Gunna)","Chris Brown,Gunna",66,82,"r&b, melodic rap","Hip Hop, R&B","Indigo",2019-06-28,03:52,62,61,6,0,48,0,10,-6,C,4,2019-08-21,1GIYmwtBbPSHrqcSaukZck,"Chris Brown Entertainment/RCA Records",8B,USRC11901581
136,"Prada You","Lil Durk",0,150,"drill","Hip Hop","Love Songs 4 The Streets 2",2019-08-02,02:38,79,61,1,0,50,30,10,-7,C♯/D♭ minor,4,2019-08-24,3mALfB3BW90Nw8qPNVOwiB,"Alamo (Interscope Records)",12A,USUM71914455
137,"Canceled","Bryson Tiller",55,94,"r&b","R&B","Canceled",2018-09-11,03:03,77,61,16,1,11,10,0,-5,F minor,4,2019-08-24,3TOfcOKNuu6ZPZXJie5msH,"TrapSoul/RCA Records",4A,USRC11803170
138,"Poetic Justice","Kendrick Lamar,Drake",77,136,"hip hop, west coast hip hop, rap","Hip Hop","good kid, m.A.A.d city (Deluxe)",2012-00-00,05:00,78,57,16,0,64,30,20,-10,F#/G♭ minor,4,2019-08-27,2P3SLxeQHPqh8qKB6gtJY2,"Aftermath",11A,USUM71211004
139,"D.T.B. (Interlude)","A Boogie Wit da Hoodie",64,84,"melodic rap","Hip Hop","Artist",2016-09-16,04:47,59,85,71,0,45,50,10,-6,A#/B♭ minor,4,2019-09-02,6dKHEOxmG7I6SraR7QFT6e,"Highbridge The Label",3A,USAT21602671
140,"Karaoke","Drake",54,151,"rap","Hip Hop","Thank Me Later",2010-01-01,03:47,76,65,1,3,95,10,0,-7,C,4,2019-09-15,5bDEA48Dxyxoc3K4Dt7yRE,"Aspire Music Group, LLC",8B,USCM51000252
141,"Power Trip (feat. Miguel)","J. Cole,Miguel",7,100,"rap, r&b","R&B, Hip Hop","Born Sinner",2013-06-14,04:01,67,61,32,0,47,20,40,-7,C♯/D♭,4,2019-09-18,7FOJvA3PxiIU0DN3JjQ7jT,"Roc Nation/Columbia",3B,USQX91300310
142,"Crooked Smile (feat. TLC)","J. Cole,TLC",7,81,"rap, ","Hip Hop","Born Sinner",2013-06-14,04:38,61,78,43,0,48,20,60,-6,G,4,2019-09-18,6JG0qhINKVwiHxqN85j7RG,"Roc Nation/Columbia",9B,USQX91301190
143,"Love Yourz","J. Cole",2,76,"rap","Hip Hop","2014 Forest Hills Drive",2014-12-09,03:31,50,62,61,0,40,40,10,-9,G#/A♭,1,2019-09-18,4gkl7QbQvBd3TM9PhlWFkI,"Roc Nation/Columbia",4B,USQX91402601
144,"Furthest Thing","Drake",53,137,"rap","Hip Hop","Nothing Was The Same (Deluxe)",2013-01-01,04:27,48,78,15,0,27,10,0,-5,A minor,4,2019-09-20,6E1ILfm6wNkA6kautk3mQP,"Cash Money Records/Young Money Ent./Universal Rec.",8A,USCM51300736
145,"Too Much","Drake,Sampha",51,140,"rap, ","Hip Hop","Nothing Was The Same (Deluxe)",2013-01-01,04:21,64,57,17,0,15,50,10,-6,F#/G♭,4,2019-09-20,4XKBoqWQjPdNM4t0znWu7E,"Cash Money Records/Young Money Ent./Universal Rec.",2B,USCM51300752
146,"Controlla","Drake",75,92,"rap","Hip Hop","Views",2016-05-06,04:05,59,47,8,0,35,10,10,-11,A#/B♭ minor,4,2019-09-20,3O8NlPh2LByMU9lSRSHedm,"Cash Money Records/Young Money Ent./Universal Rec.",3A,USCM51600080
147,"Passionfruit","Drake",87,112,"rap","Hip Hop","More Life",2017-03-18,04:58,81,46,26,9,36,0,10,-11,B,4,2019-09-20,5mCPDVBb16L4XQwDdbRUpz,"Cash Money Records/Young Money Ent./Universal Rec.",1B,USCM51700072
148,"Playing Games (with Bryson Tiller) - Extended Version","Summer Walker,Bryson Tiller",76,116,"r&b","R&B","Over It",2019-10-04,02:23,73,41,60,0,46,0,20,-7,B minor,4,2019-10-07,2xyx0o4xNOLLjBSbOOdcbA,"LVRN/Interscope Records",10A,USUM71919639
149,"Just Might (with PARTYNEXTDOOR)","Summer Walker,PARTYNEXTDOOR",71,105,"r&b","R&B","Over It",2019-10-04,03:25,69,38,67,0,18,0,10,-8,G,4,2019-10-07,43IMaycr34ZR5kS8mlL5hH,"LVRN/Interscope Records",9B,USUM71919093
150,"On Chill (feat. Jeremih)","Wale,Jeremih",66,171,"","","Wow... That's Crazy",2019-10-11,03:34,60,73,13,0,64,40,10,-6,C♯/D♭,4,2019-11-07,5z51HY4ei5QhTjcvwq5Msw,"MMG/Warner Records",3B,USWB11901623
151,"Stretch You Out (feat. A Boogie wit da Hoodie)","Summer Walker,A Boogie Wit da Hoodie",60,103,"r&b, melodic rap","Hip Hop, R&B","Over It",2019-10-04,02:23,64,52,25,0,25,10,0,-7,C♯/D♭ minor,4,2019-11-15,4Qxn47gWPSucovKrMyRf1z,"LVRN/Interscope Records",12A,USUM71919082
152,"I'll Kill You (feat. Jhené Aiko)","Summer Walker,Jhené Aiko",69,104,"r&b","R&B","Over It",2019-10-04,02:59,68,44,43,0,36,10,10,-9,A#/B♭ minor,4,2019-11-15,7EkiMl81fUHVwpItgtzI4r,"LVRN/Interscope Records",3A,USUM71919099
153,"Round II","Jacquees",45,122,"r&b","R&B","King of R&B",2019-11-08,04:02,76,58,37,0,64,10,30,-7,G#/A♭ minor,4,2019-11-17,4XbQfQIKdpnUxGQ183u6IO,"Cash Money Records Inc.",1A,USCM51900440
154,"LOYAL (feat. Drake)","PARTYNEXTDOOR,Drake",1,105,"r&b, rap","R&B, Hip Hop","LOYAL (feat. Drake)",2019-11-22,03:17,87,53,52,0,20,0,0,-6,C minor,4,2019-11-22,5bvnqVuq7UFl0txSlHpsfS,"OVO Sound/Warner Records",5A,USWB11902978
155,"THE NEWS","PARTYNEXTDOOR",0,117,"r&b","R&B","THE NEWS",2019-11-21,04:27,74,47,30,0,28,0,10,-8,G minor,4,2019-12-01,5A3TwAmhxbQ1qZCJ8N2H8C,"OVO Sound/Warner Records",6A,USWB11902977
156,"High Fashion (feat. Mustard)","Roddy Ricch,Mustard",72,98,"melodic rap, ","Hip Hop","Please Excuse Me for Being Antisocial",2019-12-06,03:40,83,50,27,0,51,10,30,-8,B minor,4,2019-12-11,07KXEDMj78x68D884wgVEm,"Atlantic Records",10A,USAT21906985
157,"Moonwalkin (feat. Lil Durk)","Roddy Ricch,Lil Durk",52,160,"melodic rap, drill","Hip Hop","Please Excuse Me for Being Antisocial",2019-12-06,02:47,78,58,2,0,30,20,10,-8,C♯/D♭ minor,4,2019-12-19,33NoCir8q4WA4HNmyrD3fu,"Atlantic Records",12A,USAT21906980
158,"Bacc Seat (feat. Ty Dolla $ign)","Roddy Ricch,Ty Dolla $ign",64,145,"melodic rap, ","Hip Hop","Please Excuse Me for Being Antisocial",2019-12-06,02:52,78,52,4,0,15,10,0,-7,C♯/D♭,4,2019-12-19,6In6SkveIw26thdYRhHTVX,"Atlantic Records",3B,USAT21906986
159,"Love... (Her Fault) [feat. Bryson Tiller]","Wale,Bryson Tiller",61,156,"r&b","R&B","Wow... That's Crazy",2019-10-11,03:32,59,60,7,0,34,60,10,-7,G,4,2019-12-21,6cSBm4mtcuFtClN6yDvjQo,"MMG/Warner Records",9B,USWB11902419
160,"Purple Emoji (feat. J. Cole)","Ty Dolla $ign,J. Cole",55,144,"rap","Hip Hop","Purple Emoji (feat. J. Cole)",2019-05-20,02:43,71,54,15,0,82,20,30,-5,G#/A♭,4,2019-12-21,3OJ4LEE50iFELaHiZ09zif,"Atlantic Records",4B,USAT21902776
161,"Fall Thru","Meek Mill",54,157,"rap","Hip Hop","Wins & Losses",2017-07-21,03:42,56,81,38,0,63,30,20,-4,A,4,2019-12-21,7dK9JJXrbDFc29n23BqUso,"MMG/Atlantic",11B,USAT21702441
162,"Black Bonnie (feat. Jacquees)","Wale,Jacquees",36,93,"r&b","R&B","Wow... That's Crazy",2019-10-11,02:57,69,52,48,0,48,40,40,-7,B,4,2019-12-21,38m4IkUzgL4z86ERRs6IDM,"MMG/Warner Records",1B,USUYG1188142
163,"Leave You Alone","Jeezy,Ne-Yo",66,95,"southern hip hop, crunk, rap, gangster rap, ","Hip Hop","TM:103 Hustlerz Ambition (Deluxe)",2011-01-01,05:29,67,66,17,0,45,0,30,-8,B minor,4,2019-12-24,5GOqOUVv7vk0jWDdNToHtA,"Def Jam Recordings",10A,USUM71118884
164,"Catch The Sun - From  Queen & Slim: The Soundtrack ","Lil Baby",32,83,"","","Queen & Slim: The Soundtrack",2019-11-15,03:02,54,61,18,0,10,10,10,-7,C♯/D♭,4,2019-12-27,75gbML78pDH3T5dvgQCjCe,"Motown Records",3B,USUG11902873
165,"Jerry Sprunger (with T-Pain)","Tory Lanez,T-Pain",64,100,"","","Chixtape 5",2019-11-15,03:53,76,75,14,0,45,20,0,-5,C minor,4,2019-12-30,6JsHgIkMYHcbNtKfsal2Mg,"Mad Love/Interscope Records",5A,USUM71922072
