#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time ,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
433,"Señorita","Shawn Mendes,Camila Cabello",81,117,"","","Señorita",2019-06-21,03:10,76,54,4,0,75,0,0,-6,A minor,4,2019-12-28,0TK2YIli7K1leLovkQiNik,"Island Records",8A,USUM71911283
434,"GDFR (feat. Sage the Gemini & Lookas)","Flo Rida,Sage The Gemini,Lookas",75,146,"hyphy, edm trap, future bass","Electronic, Hip Hop","My House",2015-04-07,03:10,66,83,0,1,69,0,0,-4,F,4,2019-12-28,26rdOwwjC2UnweK3xeS58u,"Poe Boy/Atlantic",7B,USAT21404117
435,"If I Can't Have You","Shawn Mendes",68,124,"","","If I Can't Have You",2019-05-03,03:10,69,81,52,0,86,0,10,-4,D,4,2019-12-28,6LsAAHotRLMOHfCsSfYCsz,"Island Records",10B,USUM71907349
436,"The Lazy Song","Bruno Mars",77,175,"","","Doo-Wops & Hooligans",2010-05-11,03:09,79,71,30,0,96,0,10,-5,G#/A♭ minor,4,2019-12-28,1ExfPZEiahqhLyajhybFeS,"Atlantic Records",1A,USAT21001886
437,"Natural","Imagine Dragons",83,100,"","","Origins (Deluxe)",2018-11-09,03:09,70,61,22,0,22,0,0,-6,D,4,2019-12-28,2FY7b99s15jUprqC0M5NCT,"Kid Ina Korner / Interscope",10B,USUM71806694
438,"Maps","Maroon 5",86,120,"pop","Pop","V",2014-09-02,03:09,74,71,2,0,88,0,0,-6,C♯/D♭ minor,4,2019-12-28,4gbVRS8gloEluzf0GzDOFc,"Interscope Records*",12A,USUM71407116
439,"Somebody","Natalie La Rose,Jeremih",68,105,"","","Somebody",2014-01-06,03:09,83,52,0,0,74,0,0,-9,C,4,2019-12-28,7ioiB40H9xKs04QtIso2I3,"Universal Records",8B,USUM71417961
440,"Love You Like A Love Song","Selena Gomez & The Scene",84,117,"","","When The Sun Goes Down",2011-01-01,03:08,86,68,8,0,92,0,0,-4,C♯/D♭ minor,4,2019-12-28,0laYHRpNTS6i8FXdupHkJ4,"Hollywood Records",12A,USHR11132668
441,"Slow Hands","Niall Horan",76,86,"","","Flicker (Deluxe)",2017-10-20,03:08,74,43,1,0,85,0,0,-7,C,4,2019-12-28,2cOUlop2ZakjOKe4WinesN,"Capitol Records (US1A)",8B,USUG11700631
442,"All About That Bass","Meghan Trainor",73,134,"","","Title (Deluxe)",2015-01-12,03:07,81,89,6,0,96,0,10,-4,A,4,2019-11-22,5jE48hhRu8E6zBDPRSkEq7,"Epic",11B,USSM11401317
443,"Thunder","Imagine Dragons",87,168,"","","Evolve",2017-06-23,03:07,60,82,1,13,29,0,10,-5,C,4,2019-11-22,1zB4vmk8tFRmM9UULNzbLB,"Kid Ina Korner / Interscope",8B,USUM71704167
444,"Treat You Better","Shawn Mendes",87,83,"","","Illuminate",2017-04-20,03:07,44,82,11,0,77,30,10,-4,A#/B♭ minor,4,2019-11-22,3QGsuHI8jO1Rx4JWLUh9jd,"Island Records",3A,USUM71604711
445,"Sweet but Psycho","Ava Max",9,133,"","","Sweet but Psycho",2018-08-17,03:07,72,70,7,0,63,0,10,-5,C♯/D♭,4,2019-12-28,25sgk305KZfyuqVBQIahim,"Atlantic Records",3B,USAT21802011
446,"Your Love Is My Drug","Kesha",76,120,"","","Animal (Expanded Edition)",2010-01-01,03:07,83,61,1,0,76,10,0,-4,C♯/D♭,4,2019-12-28,6vc2Jq2vaGu8z326kSrw92,"RCA Records Label",3B,USRC10900735
447,"Radioactive","Imagine Dragons",74,136,"","","Night Visions",2012-09-04,03:06,45,78,10,0,24,0,60,-4,A,4,2019-11-22,4G8gkOterJn0Ywt6uhqbhp,"Kid Ina Korner / Interscope",11B,USUM71201074
